Room Number,Location,Manufacturer,Model,Serial Number,MAC Address,DNS Name,IP Address,Username/Password,Switch#/Port#,Station-Port#,POE Wattage,VLAN,Notes,Room Type,
1W04,Rack Chassis,Crestron,DM-NVX-E30C,,,AV-HSB1W04-ENC08,,,,RG1334-2,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-E30C,,,AV-HSB1W04-ENC09,,,,RG1334-3,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-E30C,,,AV-HSB1W04-ENC10,,,,RG1335-1,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-E30C,,,AV-HSB1W04-ENC11,,,,RG1335-2,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-351C,,,AV-HSB1W04-DECENC01,,,,RG1335-3,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-351C,,,AV-HSB1W04-DECENC02,,,,RG1336-1,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-351C,,,AV-HSB1W04-DECENC03,,,,RG1336-2,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-351C,,,AV-HSB1W04-DECENC04,,,,RG1336-3,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-351C,,,AV-HSB1W04-DECENC05,,,,RG1337-1,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-351C,,,AV-HSB1W04-DECENC06,,,,RG1337-2,,NVX,,2A,
1W04,Rack Chassis,Crestron,DM-NVX-351C,,,AV-HSB1W04-DECENC07,,,,RG1337-3,,NVX,,2A,
1W04,Equip Rack,Cisco,CS-CODEC-PRO-K9,,,AV-HSB1W04-CODEC,,,,RG1352-1,,LAN,,2A,
1W04,Equip Rack,OFE,PC,,,,,,,RG1352-2,,LAN,,2A,
1W04,Equip Rack,OFE,PC 2,,,,,,,RG1352-3,,LAN,,2A,
1W04,Equip Rack,Vaddio,999-5660-500,,,AV-HSB1W04-CAM01,,,,RG1338-1,,LAN,,2A,
1W04,Equip Rack,Vaddio,999-5660-500,,,AV-HSB1W04-CAM02,,,,RG1338-2,,LAN,,2A,
1W04,Equip Rack,Vaddio,999-5660-500,,,AV-HSB1W04-CAM03,,,,RG1338-3,,LAN,,2A,
1W04,Equip Rack,Vaddio,999-5660-500,,,AV-HSB1W04-CAM04,,,,RG1339-1,,LAN,,2A,
1W04,Equip Rack,Extron,60-1634-01,,,AV-HSB1W04-SMB01,,,,RG1339-2,,LAN,,2A,
1W04,Equip Rack,Extron,60-1634-01,,,AV-HSB1W04-SMB02,,,,RG1339-3,,LAN,,2A,
1W04,Cntrl Rm,Yamaha,TF1,,,AV-HSB1W04-MIXER01,,,,RG1342-1,,LAN,,2A,
1W04,Cntrl Rm,Yamaha,NY64D,,,AV-HSB1W04-MIXERDAN01,,,,RG1342-2,,Dante,,2A,
1W05,Ceiling,Shure,MXA910W-US,,,AV-HSB1W05-CMIC01,,,,RG1312-1,19 W,Dante,,2A,
1W05,Ceiling,Shure,MXA910W-US,,,AV-HSB1W05-CMIC02,,,,RG1312-2,19 W,Dante,,2A,
1W03,Ceiling,Shure,MXA910W-US,,,AV-HSB1W03-CMIC01,,,,RG1323-1,19 W,Dante,,2A,
1W03,Ceiling,Shure,MXA910W-US,,,AV-HSB1W03-CMIC02,,,,RG1323-2,19 W,Dante,,2A,
1W04,Equip Rack,Biamp,Tesira SERVER-IO AVB - Control,04755564,78:45:01:OF:D5:CC,AV-HSB1W04-BIAMP01,,,,RG1348-1,,CONTROL,,2A,
1W04,Equip Rack,Biamp,Tesira SERVER-IO AVB - AVB,,7,N/A,,,,N/A,,TesiraCONNECT TC-5D,,2A,
1W04,Equip Rack,Biamp,Tesira SERVER-IO AVB - Control,04881497,78:45:01:11:72:C0,AV-HSB1W04-BIAMP02,,,,RG1348-2,,CONTROL,,2A,
1W04,Equip Rack,Biamp,Tesira SERVER-IO AVB - AVB,,,N/A,,,,N/A,,TesiraCONNECT TC-5D,,2A,
1W04,Equip Rack,Biamp,Tesira SERVER-IO AVB - Control,04915626,78:45:01:12:01:F3,AV-HSB1W04-BIAMP03,,,,RG1348-3,,CONTROL,,2A,
1W04,Equip Rack,Biamp,Tesira SERVER-IO AVB - AVB,,,N/A,,,,N/A,,TesiraCONNECT TC-5D,,2A,
1W04,Equip Rack,Biamp,Tesira DAN-1,,,AV-HSB1W04-BIAMPDAN01,,,,RG1349-1,,Dante,,2A,
1W04,Equip Rack,Biamp,Tesira DAN-1,,,AV-HSB1W04-BIAMPDAN02,,,,RG1349-2,,Dante,,2A,
1W04,Equip Rack,Biamp,Tesira DAN-1,,,AV-HSB1W04-BIAMPDAN03,,,,RG1349-3,,Dante,,2A,
1W04,Equip Rack,Shure,ULXD4Q=-G50,,,AV-HSB1W04-WRLS01,,,,RG1350-1,,Dante,,2A,
1W04,Equip Rack,Shure,ULXD4Q=-G50,,,AV-HSB1W04-WRLS02,,,,RG1350-2,,Dante,,2A,
1W04,Equip Rack,Crestron,PRO4,2202JBH28146BV ,C482880F50FB,AV-HSB1W04-PRO4,,,,RG1350-3,,CONTROL,,2A,
1W04,Equip Rack,Crestron,DGE-100,,,AV-HSB1W04-DGE,,,,RG1351-1,12.95 W,CONTROL,,2A,
1W04,Equip Rack,QSC,CX204V,12US2217211557,,,,,,,,,,,
1W04,Equip Rack,QSC,CX204V,12US2217211567,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Offline Devices,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
